attribution,author_profile,authors,category,chapter,class-lesson,class-order,comments,course,dateCreated,description,difficulty,estimated-time,excerpt,header1,lang-lib,layout,modified,module,module-description,module-nav-title,module-title,module-type,nav-title,odule-type,order,output,overview-order,permalink,prerequisites,redirect_from,sidebar,tags,title,topics,week,week-landing
,False,['Leah Wasser'],['courses'],,['spectral-data-fire-2-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Use the cover function in R to replace missing or bad data values in a raster with values from another raster

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}",,,"Often data have missing or bad data values that you need to replace. Learn how to replace missing or bad data values in a raster, with values from another raster in the same pixel location using the cover function in R.",,"{""r"": []}",single,2019-09-03,,,,,,Replace Raster Cell Values,,3,,,/courses/earth-analytics/multispectral-remote-sensing-modis/replace-raster-cell-values-in-remote-sensing-images-in-r/,"You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}",,"{""nav"": null}",,How to Replace Raster Cell Values with Values from A Different Raster Data Set in R,"{""remote-sensing"": [""landsat""], ""earth-science"": [""fire""], ""spatial-data-and-gis"": [""raster-data""], ""find-and-manage-data"": [""missing-data-nan""]}",8,
,False,"['Leah Wasser', 'Megan Cattau']",['courses'],,['spectral-data-fire-2-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Calculate `dNBR` in `R`.
* Describe how the `dNBR` index is used to quantify fire severity.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}",,,"In this lesson you review the normalized burn ratio (NBR) index which can be used to identify the area and severity of a fire. Specifically you will calculate NBR using Landsat 8 spectral remote sensing data in raster, .tif format.",,"{""r"": []}",single,2020-03-13,,,,,,dNBR Vegetation Index,,4,,,/courses/earth-analytics/multispectral-remote-sensing-modis/normalized-burn-index-dNBR/,"You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}","['/courses/earth-analytics/week-6/normalized-burn-index-dNBR/', '/courses/earth-analytics/spectral-remote-sensing-landsat/normalized-burn-index-dNBR/']","{""nav"": null}",,Work with the Difference Normalized Burn Index - Using Spectral Remote Sensing to Understand the Impacts of Fire on the Landscape,"{""remote-sensing"": [""landsat"", ""modis""], ""earth-science"": [""fire""], ""reproducible-science-and-programming"": null, ""spatial-data-and-gis"": [""raster-data""]}",8,
,False,"['Leah Wasser', 'Megan Cattau']",['courses'],,['spectral-data-fire-2-r'],3,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Calculate `dNBR` in `R` with Landsat data.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}",,,In this lesson you review how to calculate difference normalized burn ratio using pre and post fire NBR rasters in R. You finally will classify the dNBR raster.,,"{""r"": []}",single,2020-03-13,,,,,,dNBR With Landsat,,5,,,/courses/earth-analytics/multispectral-remote-sensing-modis/calculate-dNBR-R-Landsat/,"You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}","['/courses/earth-analytics/week-6/calculate-dNBR-R-Landsat/', '/courses/earth-analytics/spectral-remote-sensing-landsat/calculate-dNBR-R-Landsat/']","{""nav"": null}",,Calculate and Plot Difference Normalized Burn Ratio (dNBR) from Landsat Remote Sensing Data in R,"{""remote-sensing"": [""landsat"", ""modis""], ""earth-science"": [""fire""], ""reproducible-science-and-programming"": null, ""spatial-data-and-gis"": [""raster-data""]}",8,
,False,"['Megan Cattau', 'Leah Wasser']",['courses'],,['spectral-data-fire-2-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Open MODIS imagery in `R`.
* Create NBR index using MODIS imagery in `R`.
* Calculate total burned area in `R`.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}",,,In this lesson you will explore how to import and work with MODIS remote sensing data in raster geotiff format in R. You will cover importing many files using regular expressions and cleaning raster stack layer names for nice plotting.,,"{""r"": []}",single,2019-09-03,,,,,,MODIS Data in R,,6,,,/courses/earth-analytics/multispectral-remote-sensing-modis/modis-data-in-R/,"You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}",['/courses/earth-analytics/week-7/modis-data-in-R/'],"{""nav"": null}",,Work with MODIS Remote Sensing Data in R.,"{""remote-sensing"": [""modis""], ""earth-science"": [""fire""], ""spatial-data-and-gis"": [""raster-data""]}",8,
,False,['Leah Wasser'],['courses'],,['how-to-hints-week8'],2,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Add a variable to the Markdown chunk in your rmd report.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

[<i class=""fa fa-download"" aria-hidden=""true""></i> Download Week 8 Data (~500 MB)](https://ndownloader.figshare.com/files/7677208){:data-proofer-ignore='' .btn }",intermediate,2-3 hours, ,,"{""r"": []}",single,2020-03-30,,"This tutorial set covers some basic things you can do to refine your plots in Rmarkdown document. It covers plotting in grids, adding titles to plotRGB() plots and refining the width and height of plots to optimize space.",Refine Rmarkdown Reports,Refine Plots & Add Variables to Rmarkdown Reports,class,Variables in Rmarkdown Report,,1,,,/courses/earth-analytics/multispectral-remote-sensing-modis/add-variables-to-rmarkdown-report/,"You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

[<i class=""fa fa-download"" aria-hidden=""true""></i> Download Week 8 Data (~500 MB)](https://ndownloader.figshare.com/files/7677208){:data-proofer-ignore='' .btn }",['/courses/earth-analytics/week-7/add-variables-to-rmarkdown-report/'],"{""nav"": null}",,Add Variables to an RMD Report R.,"{""reproducible-science-and-programming"": [""rmarkdown""]}",8,
,False,['Leah Wasser'],['courses'],,['how-to-hints-week8'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Remove borders and refine the size of plots in an output rmarkdown report.
* Adjust the aspect ratio of a plot rendered to a pdf using knitr.
* Customize the location of legends in a plot in `R`.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

[<i class=""fa fa-download"" aria-hidden=""true""></i> Download Week 8 Data (~500 MB)](https://ndownloader.figshare.com/files/7677208){:data-proofer-ignore='' .btn }",,,In this lesson you review how to remove those pesky borders from a raster plot using base plot in R. We also cover adding legends to your plot outside of the plot extent.,,,single,2019-09-03,,,,,,Refine RGB Plots,,2,,,/courses/earth-analytics/multispectral-remote-sensing-modis/refine-plots-report/,"You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

[<i class=""fa fa-download"" aria-hidden=""true""></i> Download Week 8 Data (~500 MB)](https://ndownloader.figshare.com/files/7677208){:data-proofer-ignore='' .btn }",['/courses/earth-analytics/week-7/refine-plots-report/'],"{""nav"": null}",,How to Remove Borders and Add Legends to Spatial Plots in R. ,"{""reproducible-science-and-programming"": null, ""data-exploration-and-analysis"": [""data-visualization""], ""spatial-data-and-gis"": [""raster-data""]}",8,
,False,['Leah Wasser'],['courses'],,['how-to-hints-week8'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Plot several plots using baseplot functions in a ""grid"" as one graphic in `R`.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}",,,In this lesson you learn to use the par() or parameter settings in R to plot several raster RGB plots in R in a grid. ,,"{""r"": []}",single,2019-09-03,,,,,,Grid of Plots,,3,,,/courses/earth-analytics/multispectral-remote-sensing-modis/grid-of-plots-report/,"You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

{% include /data_subsets/course_earth_analytics/_data-week6-7.md %}",['/courses/earth-analytics/week-7/grid-of-plots-report/'],"{""nav"": null}",,Plot Grid of Spatial Plots in R. ,"{""reproducible-science-and-programming"": null, ""data-exploration-and-analysis"": [""data-visualization""], ""spatial-data-and-gis"": [""raster-data""]}",8,
,False,['Leah Wasser'],['courses'],,['how-to-hints-week8'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Adjust the spatial extent of a plot using the `ext=` argument in R.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What you need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

[<i class=""fa fa-download"" aria-hidden=""true""></i> Download Week 8 Data (~500 MB)](https://ndownloader.figshare.com/files/7677208){:data-proofer-ignore='' .btn }",,,In this lesson you will review how to adjust the extent of a spatial plot in R using the ext() or extent argument and the extent of another layer. ,,"{""r"": []}",single,2019-09-03,,,,,,Adjust plot extent,,4,,,/courses/earth-analytics/multispectral-remote-sensing-modis/adjust-plot-extent-R/,none,['/courses/earth-analytics/week-7/adjust-plot-extent-R/'],"{""nav"": null}",,Adjust plot extent in R.,"{""reproducible-science-and-programming"": null, ""data-exploration-and-analysis"": [""data-visualization""], ""spatial-data-and-gis"": [""raster-data""]}",8,
,False,['Leah Wasser'],['courses'],,['how-to-hints-week8'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Covert day of year values to normal date format in R.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

[<i class=""fa fa-download"" aria-hidden=""true""></i> Download Week 8 Data (~500 MB)](https://ndownloader.figshare.com/files/7677208){:data-proofer-ignore='' .btn }",,,Learn how to convert a day of year value to a normal date format in R. ,,"{""r"": []}",single,2019-09-03,,,,,,Day of Year to Date,,5,,,/courses/earth-analytics/multispectral-remote-sensing-modis/convert-day-of-year-to-date-in-R/,"You will need a computer with internet access to complete this lesson and the
data for week 8 of the course.

[<i class=""fa fa-download"" aria-hidden=""true""></i> Download Week 8 Data (~500 MB)](https://ndownloader.figshare.com/files/7677208){:data-proofer-ignore='' .btn }",,"{""nav"": null}",,"How to Convert Day of Year to Year, Month, Day in R",,8,
,False,"['Max Joseph', 'Leah Wasser', 'Software Carpentry', 'Reproducible Science Curriculum Community', 'Bryce Mecum']",['courses'],,['automating-your-science-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Be able to define the DRY principle.
* Describe how functions can make your code easier to read.
* Identify repeated lines of code that could be replaced by functions.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",intermediate,2-3 hours,This lesson will cover the basic principles of using functions and why they are important.,,,single,2020-03-30,,"This module will overview the basic principles of DRY - don't repeat yourself. It will then walk you through incorporating functions into your scientific programming to increase efficiency, clarity, and readability. ",Efficient Programming Using Functions,Don't Repeat Yourself: Remove Repetition in Your Code Using Functions in R.,class,Modular Code,,1,,,/courses/earth-analytics/automate-science-workflows/write-efficient-code-for-science-r/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-8/automate-your-science-r/'],"{""nav"": null}",,Write Efficient Scientific Code - the DRY (Don't Repeat Yourself) Principle ,"{""reproducible-science-and-programming"": [""literate-expressive-programming"", ""functions""]}",6,
,False,"['Leah Wasser', 'Max Joseph']",['courses'],,['automating-your-science-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:


## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,,,,single,2019-09-03,,,,,class,Clean Code Activity,,2,,,/courses/earth-analytics/automate-science-workflows/example-clean-code-activity-r/,You will need a computer with internet access to complete this lesson.,,"{""nav"": null}",,What Could be Improved In this R Code?,"{""reproducible-science-and-programming"": [""literate-expressive-programming"", ""functions""]}",6,
,False,"['Max Joseph', 'Software Carpentry', 'Leah Wasser']",['courses'],,['automating-your-science-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Write a function in `R`.
* Describe how a function argument is used in a function.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,Learn how to write a function in the R programming language.,,,single,2019-09-03,,,,,,Write Functions in R,,3,,,/courses/earth-analytics/automate-science-workflows/write-function-r-programming/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-8/intro-to-functions-r/'],"{""nav"": null}",,How to Write a Function in R - Automate Your Science,"{""reproducible-science-and-programming"": [""literate-expressive-programming"", ""functions""]}",6,
,False,"['Max Joseph', 'Software Carpentry', 'Leah Wasser']",['courses'],,['automating-your-science-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Document a function in R describing the function purpose, inputs, outputs and associated structures.
* Describe what happens to intermediate variables processed during a function call.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,"This lesson introduces the function environment and documenting functions in R. When you run a function intermediate variables are not stored in the global environment. This not only saves memory on your computer but also keeps our environment clean, reducing the risk of conflicting variables.",,,single,2019-09-03,,,,,,Document Functions,,4,,,/courses/earth-analytics/automate-science-workflows/document-functions-in-r/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-8/function-documentation-environment-r/'],"{""nav"": null}",,Get to Know the Function Environment & Function Arguments in R,"{""reproducible-science-and-programming"": [""literate-expressive-programming"", ""functions""]}",6,
,False,"['Max Joseph', 'Software Carpentry', 'Leah Wasser']",['courses'],,['automating-your-science-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Define the purpose of a function argument.
* Use default vs. required function arguments in a function.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,Learn how to work with function arguments in the R programming language..,,,single,2019-09-03,,,,,,Function Arguments,,5,,,/courses/earth-analytics/automate-science-workflows/function-arguments-r/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-8/function-arguments-r/'],"{""nav"": null}",,Working with Function Arguments,"{""reproducible-science-and-programming"": [""literate-expressive-programming"", ""functions""]}",6,
,False,"['Leah Wasser', 'Max Joseph']",['courses'],,['automating-your-science-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Write a `for loop` in `R`.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,Learn how to write a for loop to process a set of .csv format text files in R. ,,,single,2019-09-03,,,,,,Create For Loops,,6,,,/courses/earth-analytics/automate-science-workflows/create-for-loops-r/,You will need a computer with internet access to complete this lesson.,,"{""nav"": null}",,Create For Loops,"{""reproducible-science-and-programming"": [""literate-expressive-programming"", ""functions""]}",6,
,False,"['Leah Wasser', 'Max Joseph']",['courses'],,['automating-your-science-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Integrate for loops and functions to process data efficiently.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,"Learn how to combine if statements, functions and for loops to process sets of text files.",,,single,2019-09-03,,,,,,"If statements, functions and loops",,7,,,/courses/earth-analytics/automate-science-workflows/write-if-statements-and-modify-files-r/,You will need a computer with internet access to complete this lesson.,,"{""nav"": null}",,"If Statements, Functions, and For Loops","{""reproducible-science-and-programming"": [""literate-expressive-programming"", ""functions""]}",6,
,False,"['Leah Wasser', 'Bryce Mecum', 'Max Joseph']",['courses'],,['automating-your-science-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Use the `lapply()` function in `R` to automate your code.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,Learn how to take code in a for loop and convert it to be used in an apply function. Make your R code more efficient and expressive programming.,,,single,2019-09-03,,,,,,lapply vs For Loops,,8,,,/courses/earth-analytics/automate-science-workflows/use-apply-functions-for-efficient-code-r/,You will need a computer with internet access to complete this lesson.,,"{""nav"": null}",,Use lapply in R Instead of For Loops to Process .csv files - Efficient Coding in R,"{""reproducible-science-and-programming"": [""literate-expressive-programming"", ""functions""]}",6,
,False,"['Leah Wasser', 'Carson Farmer', 'Max Joseph']",['courses'],,['intro-APIs-r'],2,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Describe the difference between human vs machine readable data structures.
* Describe the difference between data returned using an API, compared to downloading a text file directly.
* Describe 2-3 components of a RESTful API call.
* List 3 different ways to access data programmatically from R: using `download.file()`, `read.csv()` and an API call.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",intermediate,2-3 hours,"In this module, you learn various ways to access, download and work with data programmatically. These methods include downloading text files directly from a website onto your computer and into R, reading in data stored in text format from a website, into a data.frame in R and finally, accessing subsets of particular data using REST API calls in R.",,,single,2020-03-30,,"In this module, you learn various ways to access, download and work with data programmatically. These methods include downloading text files directly from a website onto your computer and into R, reading in data stored in text format from a website, into a data.frame in R and finally, accessing subsets of particular data using REST API calls in R. ",APIs,Introduction to programmatic data access in R,class,API Intro,,1,,,/courses/earth-analytics/get-data-using-apis/intro-to-programmatic-data-access-r/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-10/intro-to-programmatic-data-access-r/'],"{""nav"": null}",,Introduction to APIs,"{""find-and-manage-data"": [""apis""]}",13,
,False,"['Carson Farmer', 'Leah Wasser', 'Max Joseph']",['courses'],,['intro-APIs-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Access data from a remote URL (http or https) using `read.table()` function.
* Explain the difference between accessing data using `download.file()` compared to `read.table()` or `read.csv()`.
* Plot tabular data using `ggplot()`.
* Create a plot with data subsetted by a particular variable using facets.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data that you already downloaded for week 13 of the course.",,,This lesson provides an example of modularizing code in R. ,,,single,2019-09-03,,,,,,Intro to RCurl,,2,,,/courses/earth-analytics/get-data-using-apis/get-data-with-rcurl-r/,"You will need a computer with internet access to complete this lesson and the
data that you already downloaded for week 13 of the course.",['/courses/earth-analytics/week-10/get-data-with-rcurl-r/'],"{""nav"": null}",,An Example of Creating Modular Code in R - Efficient Scientific Programming,"{""find-and-manage-data"": [""apis""]}",13,
,False,"['Carson Farmer', 'Leah Wasser', 'Max Joseph']",['courses'],,['intro-APIs-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Access data from a secure website using `read.csv()`.
* Be able to describe the key difference between a `.tsv` and a `.csv` file.
* Use pipes ( `%>%` ) to send data directly to ggplot to plot!

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson and the
data that you already downloaded for week 13 of the course.",,,This lesson reviews how to use functions within the RCurl package to access data on a secure (https) server in R. ,,,single,2019-09-03,,,,,,Get Data From Github,,3,,,/courses/earth-analytics/get-data-using-apis/access-gapminder-data-rcurl-r/,"You will need a computer with internet access to complete this lesson and the
data that you already downloaded for week 13 of the course.",['/courses/earth-analytics/week-10/access-gapminder-data-rcurl-r/'],"{""nav"": null}",,Access Secure Data Connections Using the RCurl R Package.,"{""find-and-manage-data"": [""apis"", ""find-data""]}",13,
,False,"['Leah Wasser', 'Max Joseph']",['courses'],,['intro-APIs-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Describe the key structure elements of a `json` file: object names and values.
* List some of the core data types that `json` files can store including: boolean, numeric and string.
* Identify the components of the hierarchical `json` structures including: objects, arrays and data elements.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What you need

You will need a computer with internet access to complete this lesson.",,,This lesson covers the JSON data structure. JSON is a powerful text based format that supports hierarchical data structures. It is the core structure used to create geoJSON which is a spatial version of json that can be used to create maps. JSON is preferred for use over .csv files for data structures as it has been proven to be more efficient - particulary as data size becomes large.,,,single,2019-09-03,,,,,,Into to JSON,,4,,,/courses/earth-analytics/get-data-using-apis/intro-to-JSON/,none,['/courses/earth-analytics/week-10/intro-to-JSON/'],"{""nav"": null}",,Introduction to the JSON data structure,"{""find-and-manage-data"": [""apis""]}",13,
,False,"['Carson Farmer', 'Leah Wasser', 'Max Joseph']",['courses'],,['intro-APIs-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Access data from the Colorado information warehouse RESTful API.
* Describe and recognize query parameters in a RESTful call.
* Define response and request relative to data API data access.
* Define API endpoint in the context of the SODA API.
* Be able to list the 2 potential responses that you may get when querying a RESTful API.
* Use the `mutate_at()` function with dplyr pipes to adjust the format / data type of multiple columns.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,This lesson covers accessing data via the Colorado Information Warehouse SODA API in R. ,,,single,2019-09-03,,,,,,Get JSON Data via RESTful API,,5,,,/courses/earth-analytics/get-data-using-apis/API-data-access-r/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-10/API-data-access-r/'],"{""nav"": null}",,Programmatically Access Data Using an API in R - The Colorado Information Warehouse,"{""find-and-manage-data"": [""apis"", ""find-data""]}",13,
,False,['Leah Wasser'],['courses'],,['intro-APIs-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Define what a namespace is relative to using `R`.
* Explicetly call a function from a particular namespace in `R`.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,This lesson covers namespaces in R and how we can tell R where to get a function from (what code to use) in R.,,,single,2019-09-03,,,,,,Namespaces in R,,6,,,/courses/earth-analytics/get-data-using-apis/namespaces-in-r/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-10/namespaces-in-r/'],"{""nav"": null}",,Understand Namespaces in R - What Package Does Your fromJSON() Function Come From?,"{""find-and-manage-data"": [""apis""]}",13,
,False,"['Carson Farmer', 'Leah Wasser', 'Max Joseph']",['courses'],,['intro-APIs-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Extract geospatial (x,y) coordinate information embedded within a JSON hierarchical data structure.
* Use the `flatten()` function to remove nested data.frames from data imported in JSON format.
* Create a map of geospatial data using `ggmap()`.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,"This lesson walks through the process of retrieving and manipulating surface water data housed in the Colorado Information Warehouse. These data are stored in JSON format with spatial x, y information that support mapping.",,,single,2019-09-03,,,,,,Geospatial Data From APIs,,7,,,/courses/earth-analytics/get-data-using-apis/co-water-data-spatial-r/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-10/co-water-data-spatial-r/'],"{""nav"": null}",,Programmatically Accessing Geospatial Data Using API's - Working with and Mapping JSON Data from the Colorado Information Warehouse in R,"{""find-and-manage-data"": [""apis"", ""find-data""]}",13,
,False,"['Carson Farmer', 'Leah Wasser']",['courses'],,['intro-APIs-r'],,True,earth-analytics,,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives

After completing this tutorial, you will be able to:

* Create an interactive leaflet map using `R` and rmarkdown.
* Customize an interactive map with data-driven popups.

## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need a computer with internet access to complete this lesson.",,,This lesson covers the basics of creating an interactive map using the leaflet API in R. We will import data from the Colorado Information warehouse using the SODA RESTful API and then create an interactive map that can be published to an HTML formatted file using knitr and rmarkdown.,,,single,2019-09-03,,,,,,Interactive Maps with Leaflet ,,8,,,/courses/earth-analytics/get-data-using-apis/leaflet-r/,You will need a computer with internet access to complete this lesson.,['/courses/earth-analytics/week-10/leaflet-r/'],"{""nav"": null}",,Creating Interactive Spatial Maps in R Using Leaflet,"{""find-and-manage-data"": [""apis""]}",13,
