course_number_title,course_description
12.425[J] Extrasolar Planets: Physics and Detection Techniques,"Presents basic principles of planet atmospheres and interiors applied to the study of extrasolar planets. Focuses on fundamental physical processes related to observable extrasolar planet properties. Provides a quantitative overview of detection techniques. Introduction to the feasibility of the search for Earth-like planets, biosignatures and habitable conditions on extrasolar planets. Students taking graduate version complete additional assignments."
12.43[J] Space Systems Engineering,See description under subject16.83[J].
12.431[J] Space Systems Development,See description under subject16.831[J].
12.UAR[J] Climate and Sustainability Undergraduate Advanced Research,See description under subject1.UAR[J]. Application required; consult MCSC website for more information.
12.UR Undergraduate Research,"Undergraduate research opportunities in Earth, Atmospheric, and Planetary Sciences."
12.URG Undergraduate Research,"Undergraduate research opportunities in Earth, Atmospheric, and Planetary Sciences."
12.IND Independent Study,"Independent reading, laboratory, or fieldwork in Earth, Atmospheric, and Planetary Sciences. To be arranged by student and an appropriate EAPS faculty member. A written report may be required at the discretion of the advisor. Units arranged should reflect the project requirements."
12.TIP Thesis Preparation,Definition of and early-stage work on the thesis project. Students develop a written research proposal and begin writing the supporting text of the thesis concurrent with conducting research for the thesis project. Supervision of the writing continues into the spring term which concludes with an oral presentation of the research results.
12.THU Undergraduate Thesis,Program of research leading to the writing of a thesis; to be arranged by the student and an appropriate MIT faculty member.
12.44 Practical Experience,"For Course 12 students participating in off-campus professional experiences related to their research. Before registering for this subject, students must have an offer from a company or organization, must identify an EAPS supervisor, and must receive prior approval from their advisor. Upon completion of the experience, student must submit a letter from the company or organization describing the what the student accomplished, along with a substantive final report from the student approved by the EAPS supervisor. Consult departmental academic office."
"12.444 MatLab, Statistics, Regression, Signal Processing","Introduces the basic tools needed for data analysis and interpretation in the Geosciences, as well as other sciences. Composed of four modules, targeted at introducing students to the basic concepts and applications in each module. MatLab: Principles and practice in its uses, script and function modules, basic approaches to solving problems. Statistics: Correlation, means, dispersion, precision, accuracy, distributions, central limit theorem, skewness, probability, Chi-Square, Gaussian and other common distributions used in hypothesis testing. Regression: Random and grid search methods, basic least squares and algorithms applicable to regression, inversion and parameter estimation. Signal Processing: Analog and digital signals, Z-transform, Fourier series, fast Fourier transforms, spectral analysis leakage and bias, digital filtering. Students taking the graduate version complete different assignments."
12.446 Teaching Experience in EAPS,"Recognizes the educational value derived from satisfactory performance of assigned duties as a Teaching Assistant. Laboratory, field, recitation, or classroom teaching under supervision of a faculty member. Credit for this subject may not be used for any degree granted by Course 12. Total enrollment limited by availability of suitable teaching assignments."
12.THG Graduate Thesis,"Program of research leading to the writing of an SM, PhD, or ScD thesis; to be arranged by the student and an appropriate MIT faculty member."
12.450 Seminar in Geology and Geochemistry,Seminar on topics of current interest in geology and geochemistry. Required background preparation for students taking pre-doctoral general examinations in these subjects.
12.451 Seminar in Regional Tectonics,"Applies techniques of tectonic synthesis to study the roles of particular orogenic belts in global plate tectonics. Treats different applications in different terms, so that the subject may be taken repeatedly to learn the range of orogenic responses to temporal and spatial variations of activity at plate boundaries."
12.456 Seminar in Rock Mechanics,"Discussion of current research or advanced topics in continental tectonics, rock mechanics, or experimental structural geology."
12.458 Molecular Biogeochemistry,"Covers all aspects of molecular biosignatures, such as their pathways of lipid biosynthesis, the distribution patterns of lipid biosynthetic pathways with regard to phylogeny and physiology, isotopic contents, occurrence in modern organisms and environments, diagenetic pathways, analytical techniques and the occurrence of molecular fossils through the geological record. Students analyze in depth the recent literature on chemical fossils. Lectures provide background on the subject matter. Basic knowledge of organic chemistry required. Students taking graduate version complete additional assignments."
12.463 Geomorphology,"Quantitative examination of processes that shape Earth's surface. Introduction to fluvial, hillslope, and glacial mechanics. Essentials of weathering, soil formation, runoff, erosion, slope stability, sediment transport, and river morphology. Landscape evolution in response to climatic and tectonic forcing. Application of terrestrial theory to planetary surfaces. Additional instruction in geographic information systems (GIS) and remote sensing analysis, field measurement techniques, and numerical modeling of surface processes. Students taking the graduate version complete different assignments."
12.465A Sedimentary Environments,"Covers the basic concepts of sedimentation from the properties of individual grains to large-scale basin analysis. Lectures cover sediment textures and composition, fluid flow and sediment transport, and formation of sedimentary structures. Depositional models, for both modern and ancient environments are a major component and are studied in detail with an eye toward interpretation of depositional processes and reconstructing paleoenvironments from the rock record. Students taking graduate version complete additional assignments."
12.465B Sedimentology in the Field,"Examines the fundamentals of sedimentary deposits and geological reasoning through first hand fieldwork. Students practice methods of modern geological field study off-campus during a required trip over spring break making field observations, measuring stratigraphic sections and making a sedimentological map. Relevant topics introduced are map and figure making in ArcGIS and Adobe Illustrator and sedimentary petrology. Culminates in an oral and written report built around data gathered in the field. Field sites and intervals of geologic time studied rotate annually and include Precambrian, Phanerozoic and Modern depositional environments. May be taken multiple times for credit. Students taking graduate version complete additional assignments."
12.467 Seminar in Geomorphology,"Discussion of current research or advanced topics in landscape evolution, surface hydrology, mechanics of sediment transport, basin analysis, or experimental geomorphology. Advanced instruction in process geomorphology."
12.470 Essentials of Geology,"Geology of planetary interiors and surfaces, including plate tectonics, as a unifying theory of terrestrial geology, surface processes, and the Earth's interior. Igneous, metamorphic, and sedimentary processes associated with tectonic settings and the typical rock suites created. Mineral and rock identification. Causes of compositional differences on many scales: mineral grains, rocks, regions of the Earth, different planets. Conditions required for melting and melting processes. Rock structure and field techniques. Earth history. Treatment of these topics includes discussions of the geochemical, petrologic, geochronological, experimental, or field techniques used to investigate them; the limitations of current geological techniques and geological controversies; and great geological expeditions, experiments, and studies from the past, their premises, and their results. Students taking graduate version complete additional assignments."
12.471 Essentials of Geobiology,"Introduces basic concepts of microbial structure, growth, energetics, molecular biology, and biochemistry. Presents examples of microbial interactions with environments throughout Earth's history as well as current topics in astrobiology. Includes lectures, discussions of literature, and a field trip. Lab focuses on student-designed projects that involve cultivation, modeling, or sample analyses. Intended for students whose background is not in biology, but who want to learn more about the contribution of microbes to geochemistry and planetary evolution."
12.473 Paleomagnetism and Planetary Magnetism,"Introduces the study of natural remanent magnetization and the generation of planetary magnetic fields. Topics include paleomagnetism, rock magnetism, geomagnetism, magnetostratigraphy, paleomagnetic measurement techniques, polar wander and continental drift, biomagnetism, dynamo theory, and the history and evolution of magnetic fields on the Earth and planets."
12.474 Origin and Evolution of the Earth's Crust,"Broad overview of the origin and evolution of Earth's crust and mantle with emphasis on the study of the Precambrian rock record. Topics include: processes of crustal growth, stabilization, and reactivation; evaluation of secular change; and use of radiogenic isotopes in geochronology and as tracers of crust forming processes."
12.475 Plate Tectonics and Continental Deformation,"First half covers basic elements of plate tectonics, including sea floor spreading, magnetic anomalies, and subduction zone. Second half covers implications of plate tectonics for continental processes, including continental rifting, continental collision, and mountain building. Emphasis will be on correlating plate tectonic and continental processes using specific examples from around the world."
12.476 Radiogenic Isotope Geology,"Applications of the variations in the relative abundance of radiogenic isotopes to problems of petrology, geochemistry, and tectonics. Topics: geochronology; isotopic evolution of Earth's crust and mantle; petrogenesis; and analytical techniques."
"12.477 Astrobiology, Origins and Early Evolution of Life","Provides an understanding of major areas of research into the problem of the origin of life on the early Earth from an astrobiological perspective. Topics include the timing, setting and conditions for the origin of life on the Hadean Earth; roles of planetary and extra-planetary processes; defining life; prebiotic chemistry; origins of nucleic acids and peptides; evolution of cellularity, replication, metabolism, and translation; establishment of the genetic code; biogenesis vs. ecogenesis; the nature of the last common ancestor of life; conceptualizing the ""tree of life;"" and the early evolution of the ancestors of bacteria, archaeal, and eukaryal lineages. Students taking graduate version complete an extra project."
12.478 The Phylogenomic Planetary Record,"Introduces the tools of sequence-based phylogenetic analysis and molecular evolution in the context of studying events in Earth's deep past that have been preserved by genomes. Topics include basic concepts of cladistics, phylogeny and sequence evolution, construction of phylogenetic trees of genes and microbial lineages, molecular clocks, dating, and ancestral sequence reconstruction. Special attention to the evolutionary history of microbial metabolisms and their relationship to global biogeochemical cycles across Earth's history. Students taking graduate version complete additional assignments."
12.480 Thermodynamics for Geoscientists,Principles of thermodynamics are used to infer the physical conditions of formation and modification of igneous and metamorphic rocks. Includes phase equilibria of homogeneous and heterogeneous systems and thermodynamic modelling of non-ideal crystalline solutions. Surveys the processes that lead to the formation of metamorphic and igneous rocks in the major tectonic environments in the Earth's crust and mantle.
12.481 Advanced Field Geology I,"Introduction to the problems to be investigated in12.482, as well as the regional setting and local geology of the field area. Various special techniques may be introduced and preparatory investigations may be conducted that are specific to the area to be studied in12.482."
12.482 Advanced Field Geology II,"In January, a geological and geomorphological study of a selected field area is conducted during a two-week excursion. Exercises include geological and geomorphological mapping on topographic and photographic base maps of a wide variety of bedrock and surficial rocks. Where feasible, geochemical and geophysical field measurements are correlated with geology. Meets with12.115when offered concurrently."
12.487A Field Geobiology I,"Examines basic biological processes that operate in sediments. Lectures cover biological, physical and chemical processes that influence the formation and stabilization of sediments, including biomineralization, weathering, erosion, the formation of sedimentary structures and interactions with sediments, flow, and the cycles of nutrients. Lab covers analytical methods used to examine microbial processes, bioinformatic methods used to analyze microbial communities, and techniques used to analyze sediment grain sizes and chemistry. Readings and discussions provide preparation for the12.487Bfield trip to a modern sedimentary environment. Enables students to interpret processes in modern sedimentary environments, reconstruct similar processes in the rock record, collect appropriate samples in the field, and analyze microbiological data. Students taking graduate version complete additional assignments."
12.487B Field Geobiology II,"Teaches fundamentals of field observations and reasoning in geobiology/sedimentology during a required trip to a modern sedimentary environment over spring break, followed by laboratory analyses of collected samples. Students make observations, develop hypotheses, collect samples required to test their hypotheses and interact with lecturers and students investigating the sedimentology of the site. Upon return to MIT, students work on field samples to characterize the sediments, use the preliminary data to develop an understanding of the field site, and write research reports. Students taking graduate version write proposals that present a research question based on the field observations and subsequent analyses. Meets with12.110Band12.465Bwhen those subjects examine modern sedimentary environments."
12.493[J] Microbial Genetics and Evolution,See description under subject7.493[J].
12.494 Geochemistry of Natural Waters,"Equips students with the fundamental skills to identify major controls on the chemistry of waters on the Earth.  Students examine key concepts, theories and practical tools (e.g., pH, Eh, alkalinity, surface charge, speciation, and carbonate equilibrium) and apply them as tools to understand and make predictions for the biogeochemical cycles of the Earth systems.  Graduate students complete additional assignments."
12.501 Essentials of Global Geophysics,"Overview of basic topics in solid-earth geophysics, such as the Earth's rotation, gravity and magnetic field, seismology, and thermal structure. Formulation of physical principles presented in three one-hour lectures per week. Current applications discussed in an additional one-hour tutorial each week. Students taking graduate version complete different assignments."
"12.502 Flow, Deformation, and Fracture in Earth and Other Terrestrial Bodies","Covers fundamentals of deformation and fracture of solids and the flow of viscous fluids. Explores spatial scales from molecular to planetary, and time scales from fractions of a second to millions of years, to understand how and why natural materials on Earth and other terrestrial bodies respond to applied forces. Fundamental concepts include the principles of continuum mechanics, tensor representation of physical properties, forces, tractions, stresses, strain theory, elasticity, contact problems, fracture and friction, and viscous flow and rheological models (plasticity, viscosity, viscoelasticity, elasto-plasticity). Students gather, analyze and interpret data using existing theoretical models. Includes a significant laboratory component that provides practical experience with experimental measurements and tests students' acquired theoretical knowledge. Students taking graduate version complete different assignments."
12.503 Mechanics of Earth,"Covers topics in the deformation and fracture of solids and the flow of viscous fluids. Explores spatial scales from molecular to planetary, and time scales from fractions of a second to millions of years, to understand how and why natural materials on Earth and other terrestrial bodies respond to applied forces. Introduces anelasticity, granular mechanics, poroelasticity, rate-and-state friction, transport properties of Earth materials (Darcy's law, Fick's law), brittle-ductile transitions, creep of polycrystalline materials, stored energy and dissipation, and convection. Prepares students to gather, analyze and interpret data using existing theoretical models. Through a significant laboratory component, students obtain practical experience with experimental measurements and test their acquired theoretical knowledge. Students taking graduate version complete different assignments."
12.507 Essentials of Field Geophysics,"Introduces students to the practical field application of various geophysical methods to studying Earth's to all aspects of near-surface and prepares students to undertake fieldwork that uses these methods. Methods covered include but are not limited to measuring seismic waves, gravity, precise positions (commonly referred to as GPS but formally known as GNSS), and topography using drones. Lab time involves local fieldwork to gain experience with the methods being taught. Students taking graduate version complete additional assignments."
12.510 Introduction to Seismology,"A basic study in seismology and the utilization of seismic waves for the study of Earth's interior. Introduces techniques necessary for understanding of elastic wave propagation in stratified media and for calculation of synthetic seismograms (WKBJ and mode summation). Ray theory; interpretation of travel times. (e.g., tomography); surface wave dispersion in layered media; Earth's free oscillations; and seismicity, (earthquake locations, magnitude, moment, and source properties)."
12.511 Field Geophysics,"Covers practical methods of modern geophysics, including the global positioning system (GPS), gravity, and magnetics. Field work is conducted in western US and includes intensive 10-day field exercise. Focuses on measurement techniques and their interpretation. Introduces the science of gravity, magnetics, and the GPS. Measures crustal structure, fault motions, tectonic deformations, and the local gravity and magnetic fields. Students perform high-precision measurements and participate in data analysis. Emphasizes principles of geophysical data collection and the relevance of these data for tectonic faulting, crustal structure, and the dynamics of the earthquake cycle. Students taking graduate version complete additional assignments."
12.512 Field Geophysics Analysis,"Focuses on in-depth data analysis and development of skills needed to report results both in writing and orally. Students use data collected in12.511to develop written and oral reports of the results, with each student focusing on a different area. For example, students can develop the geophysical modeling or synthesis of the results into other studies in the area. The final written and oral reports are combined into a comprehensive report and presentation of the field camp and its results. Students taking graduate version complete additional assignments."
12.515 Data and Models,"Surveys a number of methods of inverting data to obtain model parameter estimates. Topics include review of matrix theory and statistics, random and grid-search methods, linear and non-linear least squares, maximum-likelihood estimation, ridge regression, stochastic inversion, sequential estimation, singular value decomposition, solution of large systems, genetic and simulated annealing inversion, regularization, parameter error estimates, and solution uniqueness and resolution. Computer laboratory and algorithm development."
12.521 Computational Geophysical Modeling,"Introduces theory, design, and practical methods of computational modeling in geodynamics and geophysical fluid dynamics. Covers the most effective and widely used numerical modeling approaches (e.g., boundary element, finite difference, finite element) and emphasizes problem-solving skills through illustrative examples of heat and mass transfer in the mantle and the ocean. Students acquire experience with various numerical methods through regularly assigned computational exercises and a term-long modeling project of each student's choice."
12.522 Geological Fluid Mechanics,"Treats heat transfer and fluid mechanics in the Earth, low Reynolds number flows, convection instability, double diffusion, Non-Newtonian flows, flow in porous media, and the interaction of flows with accreting and deforming boundaries. Applications include: the flow under plates, postglacial rebound, diapirism, magma dynamics, and the mantle convection problem."
12.525 Mechanisms of Faulting and Earthquakes,"Explores the fundamental mechanics of faulting and earthquakes from four related perspectives: seismology, geodesy, geodynamics, and rheology. Topics to be covered include (1) the physical processes that control the rheology of faults, including friction and fracture, (2) how these rheological processes are manifest in faulting and earthquakes in the earth from a geodynamics perspective, and (3) how the mechanics of faulting and earthquakes are constrained by seismological and geodetic observations. Both continental and oceanic examples of faulting and earthquakes will be featured."
12.540 Principles of Global Positioning System,"The principles and applications of the Global Positioning System (US), GLONASS (Russia), Galileo (EU) and Beidou (China), known as Global Navigation Satellite Systems  (GNSS), along with other space geodetic systems, including very-long-baseline interferometry (VLBI), satellite laser ranging (SLR), and Interferometric Synthetics Aperture Radar (InSAR). Topics covered include CDMA and FDMA encoding used by these systems to allow measurements of pseudo-range and carrier phase which allow millimeter accuracy positioning, models and analysis methods required for millimeter accuracy positioning. Other topics include: satellite orbit modeling, atmospheric refraction modeling, estimation techniques (including Kalman filtering), statistical and spectral analysis of data.  Application areas include tectonic studies of Earth deformation, meteorology, space weather, and millimeter accuracy tracking of moving objects."
12.552 Advanced Seismology: Theory and Applications of Seismic Imaging,"Introduces fundamental principles of seismic imaging used in both exploration and solid earth applications. Topics include ray theoretical approaches, scattering theory, and seismic waveform modeling. Through lectures, projects and student-led discussions of journal articles, the class covers the whole process of seismic imaging, from data preprocessing to model generation and geological interpretation of the results."
12.560-12.561 Advanced Seminar in Exploration Geophysics,Advanced seminar focusing on areas of current interest in exploration geophysics and seismology. 12.560 is letter-graded.
12.570 Topical Issues in Global Geophysics,Series of formal lectures and seminars with the specific content varying by term to reflect current issues in research. Meets jointly with relevant Harvard course.
12.571 Seminar in Geophysics,Problems of current interest in geophysics; subject matter varying from term to term.
12.586 Modeling Environmental Complexity,"Introduction to mathematical and physical models of environmental processes. Emphasis on the development of macroscopic continuum or statistical descriptions of complex microscopic dynamics. Problems of interest include: random walks and statistical geometry of landscapes; percolation theory and transport in disordered media; fractals, scaling, and universality; ecological dynamics and the structure of ecosystems, food webs, and other natural networks; kinetics of biogeochemical cycles. Appropriate for advanced undergraduates. Beginning graduate students are encouraged to register for12.586. Students taking the graduate version complete different assignments."
12.601 Essentials of Planetary Science,"Reviews fundamental physical concepts pertaining to the study of the solar system, and highlights recent spacecraft results. Topics include: meteorites, orbital dynamics, asteroids, impact craters, surfaces, atmospheres, atmospheric dynamics, interiors, magnetospheres, rings, comets, formation of the solar system."
12.603 Solar System Dynamics,"Studies the dynamics of the solar system and its major subsystems, and the dynamics of exoplanets, with a modern emphasis on the qualitative structure of phase space. Topics may include rotational dynamics, spin-orbit coupling, Cassini states, and orbital dynamics, resonances, and Kozai oscillations, tidal evolution and tidal heating."
"12.612 Meteorites, Cosmochemistry, and Solar System Formation (New)","A broad introduction to cosmochemistry, the study of the solar system formation from a geochemical perspective. Examines how the current meteorite records are used to gain information on the processes that happened in the early solar system. Topics include the origin of elements and isotopes, chemical fractionations of them during different processes, meteorite records, pre-solar grains, cosmochemical models for the solar system formation, chronology of planetary bodies from radioactive isotopes, and analytical techniques commonly used in cosmochemistry. Students taking graduate version complete additional assignments."
12.620[J] Classical Mechanics: A Computational Approach,"Classical mechanics in a computational framework, Lagrangian formulation, action, variational principles, and Hamilton's principle. Conserved quantities, Hamiltonian formulation, surfaces of section, chaos, and Liouville's theorem. Poincaré integral invariants, Poincaré-Birkhoff and KAM theorems. Invariant curves and cantori. Nonlinear resonances, resonance overlap and transition to chaos. Symplectic integration. Adiabatic invariants. Applications to simple physical systems and solar system dynamics. Extensive use of computation to capture methods, for simulation, and for symbolic analysis. Programming experience required."
12.621 Physical Principles of Remote Sensing,"Introduction to the physics of remote sensing with applications to the study of the Earth, Moon, planets and other solar system bodies, as well as to emerging fields, such as autonomous navigation. Includes the principles of optical, thermal, radar and lidar remote sensing. Covers fundamental properties of electromagnetic waves; principles of electromagnetic scattering from real and idealized materials, including various types of surfaces and vegetation; interaction of electromagnetic radiation with the atmosphere; and thermal and microwave emission from various media. Discusses past, present, and future remote sensing platforms along with the fundamentals of orbital mechanics and data processing tools and methods. Assignments require students to write simple computer programs and plot mathematical functions. Students taking graduate version complete different assignments."
12.622 Planetary Atmospheres,"Provides a basic understanding of the physics and chemistry of planetary atmospheres. Explores the formation and evolution of atmospheres, their structure and dynamics, and what is known about their chemical composition. Pays particular attention to their energy balance. Also presents the current state of understanding of exoplanet atmospheres. Students taking graduate version complete an additional research project."
12.625 Extrasolar Planets: Physics and Detection Techniques,"In-depth study of current topics in exoplanets, such as exoplanet transits, radial velocity curves, current survey missions, the mass-radius relation, and super Earths. Class activities consist of reading the current literature, problem sets, and a term project. Students taking graduate version complete additional assignments."
12.650 Current Topics in Planetary Science,In-depth discussion of current and classic literature on selected topics in planetary science. Topics vary from year to year.
12.652 Current Topics in Planetary Science,In-depth discussion of current and classic literature on selected topics in the specialty areas of asteroids and the Pluto-Charon system. Topics vary from year to year.
12.701 Classic Papers in Physical Oceanography,"Provides a historical perspective on fundamental topics in oceanography by considering individual works which, when pieced together, contribute to the more cohesive description of how the ocean works. In class discussions, students consider various aspects of the work in question, including motivation, approach, and implications for the broader context. They also synthesize information and make oral presentations. Develops basic analytical and critical skills in paper reading and writing."
12.702 Elements of Modern Oceanography,"Examines a series of crosscutting topics that exemplify current directions in interdisciplinary oceanography. Focuses on current themes in oceanography, their interdisciplinary nature, and the role of ocean sciences in society. Introduces core concepts across the disciplines of biological, physical, and chemical oceanography as well as marine geology. Emphasizes the interdisciplinary aspects of these core concepts, the kinds of approaches and modes of thinking common to all of the disciplines, and the technological developments underpinning current advances. Students taking graduate version complete different assignments."
12.703 Presenting Scientific Research,"Presenting scientific research geared toward a scientific audience. Each student gives one 30-minute talk, one AGU-style 15-minute talk, and one poster presentation. Students present their ongoing research and use the class as a forum to practice for upcoming talks in more formal settings. Abstracts are prepared for each presentation and discussed in class. Students provide comments, questions, encouragement, critiques, etc. on their peers' presentations."
12.707 The History of Earth's Climate,"Studies the climate history of the Earth, from the formation of the early atmosphere and ocean to the present. Evaluates geochemical, sedimentological, and paleontological evidence for changes in ocean circulation, global temperatures, and atmospheric carbon dioxide levels. Covers theories and models of Phanerozoic climate change. Provides a long-term history of the global carbon cycle. Students taking graduate version complete different assignments."
12.708 Topics in Paleoceanography,Seminar focusing on areas of current interest in paleoceanography and paleoclimatology. Includes discussion of current and classic literature. Topics vary from year to year.
12.710 Geological Oceanography,"Provides a high level survey of a broad range of active science topics in Geological Oceanography. Presents background material that graduate students are expected to know in the disciplines of solid-earth geophysics, geochemistry, sedimentology and stratigraphy, coastal processes, and climate, including a representative set of canonical science papers, and builds on this material to give a sense of the current state of the science in these fields. Broad topics include the formation of the earth, petrogenesis, volcanism, plate tectonics, geodynamics, sedimentation in the oceans, coastal morphodynamics, paleo-oceanography, and climate. The interconnectedness of and feedbacks between processes discussed under these various topics is emphasized."
12.712 Advanced Marine Seismology,"Focuses on synthetic seismograms, ocean bottom refraction seismology, and multi-channel reflection seismology as applied to studies of the ocean sediments, crust, and lithosphere. Topics include: the wave equations for elastic/anelastic, isotropic/anisotropic, homogeneous/heterogeneous and fluid/solid media; ray theory and WKBJ approximations; the Sommerfeld/Weyl integrals, asymptotic analysis, and Lamb's problem for a fluid/solid interface; reflectivity and related methods; finite difference and finite element methods; and special topics of interest to the class. Extensive readings of geophysical and seismological literature."
12.714 Computational Data Analysis,"An introduction to the theory and practice of analyzing discrete data such as are normally encountered in geophysics and geology. Emphasizes statistical aspects of data interpretation and the nonparametric discrete-time approach to spectral analysis. Topics include: elements of probability and statistics, statistical inference, robust and nonparametric statistics, the method of least squares, univariate and multivariate spectral analysis, digital filters, and aspects of multidimensional data analysis."
12.715 Environmental Bioinformatics,An intensive introduction to computational skills and a survey of modern computational theory and approaches for the manipulation and analysis of genomic data in environmental and non-model systems. Designed to synthesize theory (both biological and computational) and programming to equip students with the ability to understand and carry out hypothesis testing with genomic data. Topics include: introduction to programming and biological algorithms; genomic and transcriptomic data; environmental metagenomics; intraspecific diversity; and best practices in data science and reproducibility.
12.716 Essentials of Oceanic Petrology,"Qualitative interpretation and quantitative analysis of melting, melt transport, melt-rock reactions, igneous crustal accretion, metamorphism and hydrothermalism at oceanic spreading centers and subduction-related arcs applied to understanding the variations in the composition of the Earth's (oceanic) mantle and crust and accretionalry processes at mid-ocean ridges. Combines theoretical methods with field, petrographic, geochemical, and computational techniques. Topics vary from year to year."
12.717 Coastal Geomorphology,"Explores mechanisms behind the formation and reshaping of coastal environments. Focuses on a process-based understanding of both the fluid dynamic and sediment transport aspects of coastal landforms, and, especially, the importance of feedbacks between the two. Investigates coastal evolution at various scales - from ripples to coastline formation - with an emphasis on the behavior of coastal environments over integrated timescales of days and years to centuries and millennia. Students investigate the effect of storms, sea-level rise, and interactions with biological and anthropogenic influences. Covers a broad array of coastal environments, including beaches, barrier islands, spits, inlets, tidal flats, deltas, rocky coasts, arctic shores, and carbonate atolls."
12.718 Kinetics and Mass Transport,"Offers a broad overview of various kinetic and transport processes in geology, including volume and grain boundary solid-state diffusion, defects in minerals, rates of mineral reaction and transformation, crystal nucleation and growth, advective transport in porous media and partially molten aggregates, and percolation theory. Emphasis on processes in crystalline rocks. Covers theoretical, phenomenological, and experimental constraints, with a consistent application to ""real-world"" settings and actual case histories."
12.739 Marine Microbiology and Biogeochemistry,"Integrates the fields of microbiology and biogeochemistry, and is centered on elucidating the linkages between microorganisms and geochemical processes in the oceans. Divided into modules that first lay the theoretical framework to familiarize students of diverse backgrounds (biologists, chemists, physical oceanographers). Next, introduces specific and general linkages between the topics and the major tools and techniques that have advanced their integrated study. Concludes with a synthesis module examining the role of microorganisms in the biogeochemical cycles of diverse ocean biomes"
12.740 Paleoceanography,"Studies the basic principles of techniques for reconstructing the history of ocean climate from marine sediment cores, corals, ice cores, and other paleoclimate archives. Examines this data in the light of proposed climate change mechanisms. Micropaleontological, isotopic, geochemical, and mineralogical changes are used to infer changes in seawater composition, atmospheric chemistry, and climate. Observations are interpreted as consequences of changes in ocean temperature, circulation, and chemistry, and are used to evaluate theories proposed to account for glacial/interglacial cycles. Focuses on the past two million years, but major processes and events from the past 100 million years are also included."
12.741 Marine Bioinorganic Chemistry,"Provides an overview of trace element biogeochemistry and marine bioinorganic chemistry. Topics include controls on oceanic trace metal distributions; co-evolution of biological metal requirements and metal availability during early Earth history; chemical speciation and its influence on microbial bioavailability; applications of metal isotopes; roles of metalloenzymes and metal proteins in biogeochemical cycles; and biogeochemical applications of metagenomics, metaproteomics, and bioinformatics."
12.742 Marine Chemistry,"An introduction to chemical oceanography. Reservoir models and residence time. Major ion composition of seawater. Inputs to and outputs from the ocean via rivers, the atmosphere, and the sea floor. Biogeochemical cycling within the oceanic water column and sediments, emphasizing the roles played by the formation, transport, and alteration of oceanic particles and the effects that these processes have on seawater composition. Cycles of carbon, nitrogen, phosphorus, oxygen, and sulfur. Uptake of anthropogenic carbon dioxide by the ocean. Material presented through lectures and student-led presentation and discussion of recent papers."
12.743 Geochemistry of Marine Sediments,"Focuses on processes that control the composition of sediments in coastal, shelf, and deep-sea environments and processes that define their roles in biogeochemical cycles. Topics include calculating chemical fluxes across the sediment-water interface; evaluating the sources and reactivity of carbonate, silicic, and detrital sediments; using pore water gradients to calculate diffusion, reaction, and flux rates; sediment dating; estimating accumulation rates; and using stable isotopes and natural-series radioisotopes. Covers evaluation of the links between sedimentary and water column processes; the effects of anthropogenic disturbances (e.g., eutrophication, acidification, warming) on sedimentary processes; and the role of sediments in global biogeochemical cycles. Introduces sampling techniques and mathematical modeling of sedimentary processes."
12.744 Marine Isotope Chemistry,"Fundamentals of using isotopes to study processes and timescales for marine chemistry and geochemistry. Provides basic introduction to the nature, origins, and reasons for the distributions of isotopes in nature, then develops theory and approaches for radioactive dating methods. These are used to constrain the timing and nature of the geochemical evolution of the elements, solar system, earth, ocean, and atmosphere. Covers cosmogenic isotopes and their applications. Briefly discusses basics of mass spectrometry, followed by a closer inspection of the principles and applications of isotope fractionation. Introduces mass independent fractionation and clumped isotope methods. Explores applications of isotope methods to a number of water column processes, including particle scavenging, sedimentation, long term element budgets, redox processes, and air-sea exchange. Emphasizes quantitative methods and problem-solving. Includes problem sessions with development of problem solutions."
12.746 Marine Organic Geochemistry,"Provides an understanding of the distribution of organic carbon (OC) in marine sediments from a global and molecular-level perspective. Surveys the mineralization and preservation of OC in the water column and within anoxic and oxic marine sediments. Topics include: OC composition, reactivity and budgets within, and fluxes through, major reservoirs; microbial recycling pathways for OC; models for OC degradation and preservation; role of anoxia in OC burial; relationships between dissolved and particulate (sinking and suspended) OC; methods for characterization of sedimentary organic matter; application of biological markers as tools in oceanography. Both structural and isotopic aspects are covered."
"12.747 Modeling, Data Analysis, and Numerical Techniques for Geochemistry","Emphasizes the basic skills needed for handling and assimilating data as well as the basic tool-set for numerical modeling. Uses MATLAB as its computation engine; begins with an introduction to MATLAB to ensure familiarity with software. Topics include: probability distributions, error propagation, least squares and regression techniques, principle component and factor analysis, objective mapping, Fourier and spectral analysis, numerical solutions to ODEs and PDEs, finite difference techniques, inverse models, and scientific visualization."
12.749 Solid Earth Geochemistry,"Integrates methods in mineralogy, petrology (both igneous and metamorphic), and trace element and isotope geochemistry to address scientific issues of the solid earth. Covers processes in the solar nebula, accretion, and early differentiation of the earth. Discusses topics in three representative geodynamic environments - mid-ocean ridges, subduction zones, and mantle plumes - with respect to physical framework and petrological/geochemical aspects."
12.751-12.759 Seminar in Oceanography at Woods Hole,"Topics in marine geology and geophysics, physical, dynamical, and chemical oceanography. Content varies from term to term. 12.754,  12.755, and 12.756 are letter-graded."
12.760-12.761 Seminar in Marine Geology and Geophysics at MIT,Topics in marine geology and geophysics taught at MIT. Content varies from term to term. 12.760 is letter-graded.
